Position,Nominee,President,Announced,Received,Withdrawn,Confirmed,Rejected,Vote Type,Votes For,Votes Against
Secretary of Agriculture,Donald Trump,Sonny Perdue,2017-01-19,2017-03-09,,2017-04-24,,Roll Call Vote,87,11
Attorney General,Donald Trump,Jeff Sessions,2016-11-18,2017-01-20,,2017-02-08,,Roll Call Vote,52,47
Attorney General,Donald Trump,William Barr,2018-12-07,2019-01-03,,2019-02-14,,Roll Call Vote,54,45
Secretary of Commerce,Donald Trump,Wilbur Ross,2016-11-30,2017-01-20,,2017-02-27,,Roll Call Vote,72,27
Secretary of Defense,Donald Trump,James Mattis,2016-12-06,2017-01-20,,2017-01-20,,Roll Call Vote,98,1
Secretary of Education,Donald Trump,Betsy DeVos,2016-11-23,2017-01-20,,2017-02-07,,Roll Call Vote,51,50
Secretary of Energy,Donald Trump,Rick Perry,2016-12-14,2017-01-20,,2017-03-02,,Roll Call Vote,62,37
Secretary of Health & Human Services,Donald Trump,Tom Price,2016-11-29,2017-01-20,,2017-02-10,,Roll Call Vote,52,47
Secretary of Health & Human Services,Donald Trump,Alex Azar,2017-11-13,2018-01-08,,2018-01-24,,Roll Call Vote,55,43
Secretary of Homeland Security,Donald Trump,John Kelly,2016-12-12,2017-01-20,,2017-01-20,,Roll Call Vote,88,11
Secretary of Homeland Security,Donald Trump,Kirstjen Nielsen,2017-10-11,2017-10-16,,2017-12-05,,Roll Call Vote,62,37
Secretary of Housing & Urban Development,Donald Trump,Ben Carson,2016-12-05,2017-01-20,,2017-03-02,,Roll Call Vote,58,41
Secretary of Interior,Donald Trump,Ryan Zinke,2016-12-15,2017-01-20,,2017-03-01,,Roll Call Vote,68,31
Secretary of Interior,Donald Trump,David Bernhardt,2019-02-04,2019-03-11,,2019-04-11,,Roll Call Vote,56,41
Secretary of Labor,Donald Trump,R. Alexander Acosta,2017-02-16,2017-03-07,,2017-04-27,,Roll Call Vote,60,38
Secretary of State,Donald Trump,Rex Tillerson,2016-12-13,2017-01-20,,2017-02-01,,Roll Call Vote,56,43
Secretary of State,Donald Trump,Mike Pompeo,2018-03-13,2018-03-20,,2018-04-26,,Roll Call Vote,57,42
Secretary of Transportation,Donald Trump,Elaine Chao,2016-11-29,2017-01-20,,2017-01-31,,Roll Call Vote,93,6
Secretary of Treasury,Donald Trump,Steve Mnuchin,2016-11-30,2017-01-20,,2017-02-13,,Roll Call Vote,53,47
Secretary of Veterans Affairs,Donald Trump,David Shulkin,2017-01-11,2017-01-20,,2017-02-13,,Roll Call Vote,100,0
Secretary of Veterans Affairs,Donald Trump,Robert Wilkie,2018-05-18,2018-06-20,,2018-07-23,,Roll Call Vote,86,9
