sum,agency,year,country
45631,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2016,USA
364874,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,USA
287482.06,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,USA
218509.94,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2019,USA
51020,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2020,USA
816284.52,AFRICAN DEVELOPMENT FOUNDATION (EOP),2006,USA
1107760.43,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,USA
146641.52,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1998,USA
330000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1999,AGO
992000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1999,FRA
44693709.22,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1999,USA
325000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,AGO
247000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,CHE
172000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,DNK
297000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,ETH
2856000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,FIN
225000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,FJI
300000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,FRA
10000000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,ITA
94000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,RUS
575000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,TUR
130000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,UKR
593067442.22,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2000,USA
14000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,BEL
93000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,CAN
120000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,CRI
70000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,DNK
232000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,FRA
370000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,GTM
142000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,MLI
265000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,MYS
498000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,NLD
84000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,PRY
98000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,RUS
111000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,THA
732075815.35,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,USA
108000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2001,VUT
3000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,AUT
20000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,BEL
141000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,BRA
35000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,CAN
3417000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,FRA
100000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,GTM
114000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,HRV
50000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,HTI
53000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,IDN
24000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,MOZ
105000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,NLD
105000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,THA
2271914123.45,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2002,USA
54300,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,ETH
1138125,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,FRA
-5000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,ISR
9757,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,MOZ
10550,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,PER
34575,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,PHL
2396417382.24,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2003,USA
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,ARE
138318,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,CAN
3324000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,DNK
400000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,DZA
102104,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,HND
374490,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,ITA
150000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,KGZ
320367,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,MDG
80031,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,MOZ
844469,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,PER
0,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,PHL
30000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,RUS
2367253183.02,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2004,USA
641690,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,ARE
80000,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,BIH
4874,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),2005,CAN
