sum,agency,year,month,country
17931,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2016,11,USA
27700,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2016,12,USA
28000,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,01,USA
41248,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,02,USA
94900,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,04,USA
70260,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,07,USA
8892,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,08,USA
53760,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,09,USA
6627,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,10,USA
22131,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,11,USA
39056,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2017,12,USA
36000,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,01,USA
31760,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,02,USA
31760,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,04,USA
36160,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,07,USA
31252,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,08,USA
36160,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,09,USA
32400,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,10,USA
15830.06,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,11,USA
36160,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2018,12,USA
59760,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2019,03,USA
65677.3,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2019,07,USA
31720,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2019,08,USA
9400,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2019,10,USA
20192.64,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2019,11,USA
31760,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2019,12,USA
51020,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),2020,02,USA
122976.97,AFRICAN DEVELOPMENT FOUNDATION (EOP),2006,10,USA
693307.55,AFRICAN DEVELOPMENT FOUNDATION (EOP),2006,11,USA
36000,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,01,USA
-12000,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,03,USA
36000,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,04,USA
367600,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,05,USA
273500,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,07,USA
39035.65,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,08,USA
41000,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,09,USA
84806,AFRICAN DEVELOPMENT FOUNDATION (EOP),2007,10,USA
