Department,President,Nominee,Votes For,Votes Against,Days,domestic_spending,foreign_spending,ageEnteringOffice
DEPARTMENT OF AGRICULTURE (USDA),Barack Obama,Tom Vilsack,100,0,3016,45691374963,159393556.7,21223
DEPARTMENT OF AGRICULTURE (USDA),Donald Trump,Sonny Perdue,87,11,1097,20219268721,44594899.91,25694
DEPARTMENT OF AGRICULTURE (USDA),George W. Bush,Ann Veneman,100,0,1461,15686548419,35086076.67,18833
DEPARTMENT OF AGRICULTURE (USDA),George W. Bush,Edward Schafer,100,0,358,5178157184,11387945.42,22453
DEPARTMENT OF AGRICULTURE (USDA),George W. Bush,Mike Johanns,,,1103,13112650978,43368108.36,19941
DEPARTMENT OF COMMERCE (DOC),Barack Obama,Gary Locke,100,0,940,8540537267,55128163.89,21614
DEPARTMENT OF COMMERCE (DOC),Barack Obama,John Bryson,74,26,614,3657602969,24612222.91,24926
DEPARTMENT OF COMMERCE (DOC),Barack Obama,Penny Pritzker,97,1,1343,11928364447,73339437.3,19779
DEPARTMENT OF COMMERCE (DOC),Donald Trump,Wilbur Ross,72,27,1153,13301605772,78445903.27,28947
DEPARTMENT OF COMMERCE (DOC),George W. Bush,Carlos Gutierrez,100,0,1520,9759755635,91872450.34,18723
DEPARTMENT OF COMMERCE (DOC),George W. Bush,Donald Evans,,,1465,5958634062,59920905.69,19901
DEPARTMENT OF DEFENSE (DOD),Barack Obama,Ashton Carter,93,5,708,5.56E+11,19447209404,22061
DEPARTMENT OF DEFENSE (DOD),Barack Obama,Chuck Hagel,58,41,716,5.47E+11,29911546100,24253
DEPARTMENT OF DEFENSE (DOD),Barack Obama,Leon Panetta,100,0,616,5.82E+11,33151721916,26666
DEPARTMENT OF DEFENSE (DOD),Donald Trump,James Mattis,98,1,1191,1.04E+12,32553851054,24241
DEPARTMENT OF DEFENSE (DOD),George W. Bush,Donald Rumsfeld,,,2146,1.29E+12,21391220110,25032
DEPARTMENT OF DEFENSE (DOD),George W. Bush,Robert Gates,95,2,1658,1.56E+12,82231558072,23095
DEPARTMENT OF EDUCATION (ED),Barack Obama,Arne Duncan,,,2610,16708114348,10761936.65,16147
DEPARTMENT OF EDUCATION (ED),Barack Obama,John King,49,40,330,2536461368,54348.53,14972
DEPARTMENT OF EDUCATION (ED),Donald Trump,Betsy DeVos,51,50,1173,8162597945,4471953.1,21580
DEPARTMENT OF EDUCATION (ED),George W. Bush,Margaret Spellings,,,1461,5536765581,5789464.39,17218
DEPARTMENT OF EDUCATION (ED),George W. Bush,Roderick Paige,,,1461,4642067314,3624717.29,24689
DEPARTMENT OF ENERGY (DOE),Barack Obama,Ernest Moniz,97,0,1386,1.08E+11,10892225.37,24987
DEPARTMENT OF ENERGY (DOE),Barack Obama,Steven Chu,,,1577,1.18E+11,8257973.27,22243
DEPARTMENT OF ENERGY (DOE),Donald Trump,Rick Perry,62,37,1150,86729216073,6337191.02,24470
DEPARTMENT OF ENERGY (DOE),George W. Bush,Sam Bodman,100,0,1450,93071510422,15268452.12,24173
DEPARTMENT OF ENERGY (DOE),George W. Bush,Spencer Abraham,,,1472,1.00E+11,25825963.88,17754
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),Barack Obama,Kathleen Sebelius,65,31,1864,1.00E+11,1059191083,22263
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),Barack Obama,Sylvia Burwell,78,17,981,64106845117,809271124.5,17883
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),Donald Trump,Alex Azar,55,43,822,54824642191,336120518.2,18489
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),Donald Trump,Tom Price,52,47,348,24522735421,486496253.8,22771
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),George W. Bush,Michael Leavitt,,,1553,53994651976,1494169057,19708
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),George W. Bush,Tommy Thompson,100,0,1463,28813181021,392340492.9,21625
DEPARTMENT OF HOMELAND SECURITY (DHS),Barack Obama,Janet Napolitano,,,1791,63892351015,183791623.3,18681
DEPARTMENT OF HOMELAND SECURITY (DHS),Barack Obama,Jeh Johnson,78,16,1131,42347828410,130398828.5,20557
DEPARTMENT OF HOMELAND SECURITY (DHS),Donald Trump,John Kelly,88,11,319,16317354371,81143002.22,24553
DEPARTMENT OF HOMELAND SECURITY (DHS),Donald Trump,Kirstjen Nielsen,62,37,872,38337782390,152991368.1,16322
DEPARTMENT OF HOMELAND SECURITY (DHS),George W. Bush,Michael Chertoff,98,0,1435,56329639399,156712287.5,18707
DEPARTMENT OF HOMELAND SECURITY (DHS),George W. Bush,Thomas Ridge,94,0,755,15299717560,40104549.1,20970
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),Barack Obama,Julian Castro,71,26,967,2835802148,14683.67,14560
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),Barack Obama,Shaun Donovan,,,1994,7985532309,35669.22,15708
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),Donald Trump,Ben Carson,58,41,1150,3109674416,0,23907
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),George W. Bush,Alphonso Jackson,,,1526,4141124373,425719.01,21388
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),George W. Bush,Melquiades Martinez,100,0,1163,2671737013,304500,19817
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),George W. Bush,Steven Preston,100,0,232,849463545.8,0,17472
DEPARTMENT OF JUSTICE (DOJ),Barack Obama,Eric Holder,75,21,2271,44590102394,246872008.8,21198
DEPARTMENT OF JUSTICE (DOJ),Barack Obama,Loretta Lynch,56,43,657,13868040689,55991680.75,20430
DEPARTMENT OF JUSTICE (DOJ),Donald Trump,Jeff Sessions,52,47,736,16419703130,78493256.16,25615
DEPARTMENT OF JUSTICE (DOJ),Donald Trump,William Barr,54,45,436,9422477250,131196623.8,25104
DEPARTMENT OF JUSTICE (DOJ),George W. Bush,Alberto Gonzales,60,36,1036,15225975356,139061422.2,18081
DEPARTMENT OF JUSTICE (DOJ),George W. Bush,John Ashcroft,58,42,1435,15947136463,142868261.7,21454
