feature,value
total,36853833571.770004
pct_foreign,0.03458192906113973
total_dos,778612817.6800001
total_usda,377109084.84999996
total_doc,158751161.51
total_hud,40585644.55
total_treas,329059708.8
total_doj,522993411.13
total_dod,26649038062.649998
total_ed,143354433.0
total_hhs,1659685467.5600002
total_doi,281527124.24
total_va,986599682.3199999
total_doe,664607410.88
total_dot,389913705.74
total_dol,138050993.7
total_dhs,688950237.8100001
pct_foreign_dos,0.022120004909909403
pct_foreign_usda,0.0011549853278481686
pct_foreign_doc,0.007310873249433778
pct_foreign_hud,0.0
pct_foreign_treas,0.004149202389374994
pct_foreign_doj,0.0029009436213009525
pct_foreign_dod,0.04354942222948644
pct_foreign_ed,0.00017439293279476053
pct_foreign_hhs,0.032019586065381286
pct_foreign_doi,0.026552593147747203
pct_foreign_va,0.0002100650787892502
pct_foreign_doe,0.0001555271703382544
pct_foreign_dot,0.001174546555450867
pct_foreign_dol,0.00010817423040396413
pct_foreign_dhs,0.002631583909112462
pct_total_to_USA,0.9654180709388599
pct_total_to_AGO,0.0
pct_total_to_DNK,0.0017177706714476687
pct_total_to_CHE,0.009493895624145127
pct_total_to_ETH,2.9245321193005966e-06
pct_total_to_TUR,0.0019642776580901357
pct_total_to_RUS,0.00018798371535781776
pct_total_to_UKR,2.8159322909487974e-07
pct_total_to_FIN,-1.930906858344026e-06
pct_total_to_FJI,0.0
pct_total_to_FRA,7.994354221691623e-05
pct_total_to_ITA,0.000274049480370379
pct_total_to_THA,2.4489343781357228e-05
pct_total_to_BEL,0.00020887556744969283
pct_total_to_MYS,2.647214429131488e-07
pct_total_to_MLI,0.0
pct_total_to_CAN,0.002580246629562042
pct_total_to_CRI,0.0
pct_total_to_GTM,8.373156062558826e-07
pct_total_to_VUT,0.0
pct_total_to_NLD,0.00013757407815190534
pct_total_to_PRY,0.0
pct_total_to_HRV,7.717123632366278e-06
pct_total_to_MOZ,1.0519305115030418e-05
pct_total_to_AUT,1.7299464891716554e-06
pct_total_to_HTI,0.00014192911409918177
pct_total_to_BRA,8.928243498989594e-07
pct_total_to_IDN,0.00012265638013470026
pct_total_to_PHL,1.8748397467374115e-05
pct_total_to_ISR,3.551036061014986e-05
pct_total_to_PER,1.7124948447247485e-06
pct_total_to_HND,7.606421933123648e-05
pct_total_to_KGZ,2.309309283504004e-06
pct_total_to_ARE,0.0008115629800561757
pct_total_to_DZA,0.0
pct_total_to_MDG,0.0
pct_total_to_EGY,1.1630274477831326e-06
pct_total_to_GBR,0.0021825876359200373
pct_total_to_IRQ,-0.0001396925055292896
pct_total_to_KWT,0.0005969079042254835
pct_total_to_JOR,1.0771606683112673e-05
pct_total_to_BIH,7.583634398731479e-07
pct_total_to_SAU,0.0014026513442443296
pct_total_to_HUN,-1.062925514213164e-06
pct_total_to_ZAF,2.7583640600653446e-06
pct_total_to_KEN,3.129763414581467e-06
pct_total_to_BHR,0.00024356285683331948
pct_total_to_GIB,3.848732309592066e-06
pct_total_to_SEN,1.1246591190922705e-06
pct_total_to_TZA,-1.6307128506173919e-06
pct_total_to_JPN,0.0015154704712397066
pct_total_to_AFG,0.004705570105272257
pct_total_to_COL,0.0008553305779875768
pct_total_to_GUY,0.0
pct_total_to_ECU,0.0
pct_total_to_KOR,0.0005078743947641119
pct_total_to_SLV,0.0
pct_total_to_CHN,1.7721819867887148e-05
pct_total_to_IND,9.985392680610778e-07
pct_total_to_ABW,0.0
pct_total_to_UGA,4.650889836635464e-06
pct_total_to_SDN,0.0
pct_total_to_KAZ,9.119805388643533e-06
pct_total_to_GHA,1.072344344396027e-06
pct_total_to_LBR,3.039032554968498e-06
pct_total_to_PAK,-0.00036647525592413795
pct_total_to_ARM,0.0
pct_total_to_MKD,-1.6749953537339765e-09
pct_total_to_AZE,0.0
pct_total_to_GEO,8.60247103961656e-05
pct_total_to_LKA,1.4922735213664956e-06
pct_total_to_ZWE,0.0
pct_total_to_AUS,8.758172155182335e-05
pct_total_to_JAM,0.0
pct_total_to_NAM,0.0
pct_total_to_MAR,-9.303162433083441e-07
pct_total_to_BGD,3.3978187847442935e-05
pct_total_to_NGA,5.531853276619889e-07
pct_total_to_UZB,0.0
pct_total_to_PAN,2.481977507763703e-05
pct_total_to_MEX,9.687458953346903e-08
pct_total_to_HKG,5.72740905200388e-06
pct_total_to_MWI,0.0
pct_total_to_PRT,1.052620399027239e-05
pct_total_to_GIN,0.0
pct_total_to_COD,0.0
pct_total_to_SLE,3.912754414521941e-07
pct_total_to_BOL,0.0
pct_total_to_DOM,-5.5380941470452716e-08
pct_total_to_NIC,0.0
pct_total_to_BEN,2.7117667367053278e-06
pct_total_to_KHM,6.9882105886883135e-06
pct_total_to_BRB,2.40517719350364e-07
pct_total_to_COG,0.0
pct_total_to_SGP,0.00011311227858784166
pct_total_to_ZMB,0.0
pct_total_to_VEN,0.0
pct_total_to_NPL,1.3500006696212606e-05
pct_total_to_SRB,6.056357734544364e-07
pct_total_to_TJK,6.999163316284858e-08
pct_total_to_BGR,5.840746515035121e-07
pct_total_to_BLR,0.0
pct_total_to_LUX,1.5001120546207751e-06
pct_total_to_MHL,0.0
pct_total_to_IRL,1.9454556840165526e-07
pct_total_to_TTO,2.650933445220631e-06
pct_total_to_CHL,1.400155560465937e-07
pct_total_to_CIV,0.0
pct_total_to_NOR,7.005377323833193e-05
pct_total_to_RWA,5.01983055954618e-07
pct_total_to_SWE,-7.454348255657078e-06
pct_total_to_LTU,0.0
pct_total_to_MLT,5.757876438736209e-06
pct_total_to_LAO,-1.7691185334364296e-06
pct_total_to_ESP,4.382605914943974e-05
pct_total_to_MUS,0.0
pct_total_to_QAT,4.222929174977696e-05
pct_total_to_DEU,0.00444126155210558
pct_total_to_ALB,0.0
pct_total_to_MDA,0.0
pct_total_to_CZE,5.800753389296121e-07
pct_total_to_BWA,0.0
pct_total_to_BMU,6.375456152816056e-07
pct_total_to_SSD,0.0
pct_total_to_POL,5.51553828461698e-06
pct_total_to_SVN,0.0
pct_total_to_XKS,0.0
pct_total_to_BFA,0.0
pct_total_to_SVK,0.0
pct_total_to_BDI,0.0
pct_total_to_KNA,0.0
pct_total_to_VNM,3.3718198612365376e-05
pct_total_to_TLS,0.0
pct_total_to_ARG,-5.15244091581977e-07
pct_total_to_ROU,1.4228009658177232e-06
pct_total_to_URY,0.0
pct_total_to_MNG,5.145950410577372e-07
pct_total_to_LBN,1.0002480997862052e-05
pct_total_to_GRC,1.7134238389888954e-05
pct_total_to_IRN,0.0
pct_total_to_CMR,0.0
pct_total_to_TWN,0.0
pct_total_to_NER,0.0
pct_total_to_STP,0.0
pct_total_to_MNE,0.0
pct_total_to_VGB,0.0
pct_total_to_UMI,0.0
pct_total_to_NZL,1.7679524403645567e-05
pct_total_to_ISL,0.0
pct_total_to_OMN,2.691416072274735e-06
pct_total_to_PLW,0.0
pct_total_to_GMB,0.0
pct_total_to_SWZ,0.0
pct_total_to_WSM,0.0
pct_total_to_SOM,0.0
pct_total_to_TUN,0.0
pct_total_to_SLB,0.0
pct_total_to_TCA,0.0
pct_total_to_ATA,0.0
pct_total_to_GAB,0.0
pct_total_to_NCL,0.0
pct_total_to_CYP,0.0
pct_total_to_COK,0.0
pct_total_to_PYF,0.0
pct_total_to_CYM,0.0
pct_total_to_TON,0.0
pct_total_to_MCO,0.0
pct_total_to_TKM,0.0
pct_total_to_BLZ,2.6320735347951273e-07
pct_total_to_MSR,0.0
pct_total_to_GRL,1.0690882380871323e-05
pct_total_to_PNG,1.7320662143787456e-06
pct_total_to_KIR,0.0
pct_total_to_BHS,0.0
pct_total_to_AIA,1.7618791237429866e-06
pct_total_to_DMA,0.0
pct_total_to_MRT,0.0
pct_total_to_DJI,3.025465445348103e-06
pct_total_to_LVA,6.107440615687074e-07
pct_total_to_TGO,0.0
pct_total_to_TUV,0.0
pct_total_to_ATG,0.0
pct_total_to_VCT,0.0
pct_total_to_GNB,0.0
pct_total_to_LCA,0.0
pct_total_to_SYC,0.0
pct_total_to_BRN,0.0
pct_total_to_EST,2.3467384425985037e-05
pct_total_to_BTN,0.0
pct_total_to_GRD,0.0
pct_total_to_LIE,0.0
pct_total_to_YEM,0.0
pct_total_to_MDV,0.0
pct_total_to_TCD,0.0
pct_total_to_IMN,0.0
pct_total_to_CUW,0.0
pct_total_to_SYR,0.0
pct_total_to_MMR,0.0
pct_total_to_SPM,0.0
pct_total_to_AND,0.0
pct_total_to_LSO,0.0
pct_total_to_MAC,0.0
pct_total_to_CUB,0.0
pct_total_to_CAF,0.0
pct_total_to_ERI,0.0
pct_total_to_SUR,0.0
pct_total_to_LBY,0.0
pct_total_to_CPV,0.0
pct_total_to_XWB,0.0
pct_total_to_GNQ,0.0
pct_total_to_TKL,0.0
pct_total_to_XAC,0.0
pct_total_to_COM,0.0
