,dos,usda,doc,hud,treas,doj,dod,ed,hhs,doi,va,doe,dot,dol,dhs
USA,369894505.48,292476728.9,217025648.28,-3780.93,296353887.46,361086135.06,30398101201.87,143318841.89,757723913.25,199719033.06,1242545832.65,1083764133.68,430062752.41,145086946.98,914925671.52
AGO,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,49695.99999999999,0.0,117.48,-0.0,0.0,0.0,447859.06,0.0,0.0,184000.0,0.0,0.0,0.0,0.0,0.0
CHE,173135.46,0.0,0.0,-0.0,117063.4,0.0,1333898.53,0.0,8309.0,0.0,49960.66,15492.0,0.0,0.0,0.0
ETH,3708.98,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,770892.9,0.0,0.0,-0.0,0.0,0.0,5486639.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,219319.49,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,379873.75,0.0,0.0,-0.0,0.0,0.0,54548.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJI,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,296668.48,5100.0,0.0,-0.0,0.0,0.0,2585216.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360747.16
ITA,186628.85,0.0,0.0,-0.0,0.0,0.0,15393324.430000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24095.14
THA,160726.76,0.0,0.0,-0.0,0.0,0.0,1784662.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,1560717.31,0.0,0.0,-0.0,0.0,0.0,748670.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,0.0,0.0,0.0,-0.0,0.0,0.0,40764.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI,28867.8,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,1431276.53,255718.44,345168.62,-0.0,515661.29,211877.15,70289862.64,0.0,108747.0,2533439.5,158229.94,-468.75,7469.2,0.0,507081.79
CRI,47390.0,0.0,0.0,-0.0,0.0,0.0,39261.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,0.0,0.0,0.0,-0.0,0.0,0.0,129694.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VUT,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,0.0,0.0,349482.64,-0.0,8282.02,0.0,3236873.62,0.0,2134912.95,0.0,0.0,277150.9,0.0,0.0,93475.02
PRY,4119.05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,0.0,0.0,0.0,-0.0,0.0,0.0,10931.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZ,748641.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,77833.19,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTI,288501.16,0.0,0.0,-0.0,120000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,5236.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,15878.279999999999,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,59475.98,0.0,0.0,-0.0,0.0,0.0,3238188.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37192.31
ISR,1061384.18,0.0,37500.0,-0.0,0.0,0.0,68023218.42,0.0,27440.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,45150.29,0.0,0.0,-0.0,0.0,0.0,121445.27999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,291934.53,0.0,0.0,-0.0,88000.0,0.0,805559.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KGZ,8822.36,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,422984.57999999996,0.0,0.0,-0.0,0.0,0.0,78524722.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDG,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
